date;unidad
11/07/2022;72
11/07/2022;14
11/07/2022;5
11/07/2022;9
11/07/2022;348
12/07/2022;4
12/07/2022;6
12/07/2022;4
12/07/2022;5
12/07/2022;58
12/07/2022;20
12/07/2022;1
12/07/2022;1
12/07/2022;52
12/07/2022;313
13/07/2022;21
13/07/2022;3
13/07/2022;24
13/07/2022;20
13/07/2022;34
13/07/2022;18
13/07/2022;174
14/07/2022;1
14/07/2022;25
14/07/2022;91
14/07/2022;19
14/07/2022;5
14/07/2022;27
14/07/2022;137
15/07/2022;108
15/07/2022;22
15/07/2022;2
15/07/2022;1
15/07/2022;1
15/07/2022;14
15/07/2022;17
15/07/2022;1
15/07/2022;69
17/07/2022;26
18/07/2022;42
18/07/2022;84
18/07/2022;14
18/07/2022;1
18/07/2022;1
18/07/2022;15
18/07/2022;101
19/07/2022;6
19/07/2022;14
19/07/2022;5
19/07/2022;10
19/07/2022;1
19/07/2022;2
19/07/2022;35
19/07/2022;51
20/07/2022;1
20/07/2022;18
20/07/2022;11
20/07/2022;74
20/07/2022;12
20/07/2022;1
20/07/2022;2
20/07/2022;24
20/07/2022;55
21/07/2022;3
21/07/2022;6
21/07/2022;8
21/07/2022;48
21/07/2022;18
21/07/2022;1
21/07/2022;1
21/07/2022;4
21/07/2022;118
22/07/2022;14
22/07/2022;20
22/07/2022;17
22/07/2022;80
24/07/2022;1
25/07/2022;2
25/07/2022;1
25/07/2022;30
25/07/2022;20
25/07/2022;3
25/07/2022;6
25/07/2022;4
25/07/2022;35
26/07/2022;2
26/07/2022;2
26/07/2022;20
26/07/2022;58
26/07/2022;12
26/07/2022;3
26/07/2022;16
26/07/2022;156
27/07/2022;1
27/07/2022;18
27/07/2022;15
27/07/2022;32
27/07/2022;71
28/07/2022;18
28/07/2022;17
28/07/2022;11
28/07/2022;3
28/07/2022;40
29/07/2022;1
29/07/2022;1
29/07/2022;15
29/07/2022;22
29/07/2022;9
29/07/2022;15
29/07/2022;7
29/07/2022;96
31/07/2022;1
01/08/2022;6
01/08/2022;2
01/08/2022;41
01/08/2022;16
01/08/2022;1
01/08/2022;5
01/08/2022;21
02/08/2022;1
02/08/2022;18
02/08/2022;1
02/08/2022;59
02/08/2022;13
02/08/2022;17
02/08/2022;10
02/08/2022;141
03/08/2022;23
03/08/2022;1
03/08/2022;1
03/08/2022;15
03/08/2022;7
03/08/2022;36
03/08/2022;74
04/08/2022;1
04/08/2022;23
04/08/2022;30
04/08/2022;32
04/08/2022;1
04/08/2022;3
04/08/2022;86
05/08/2022;18
05/08/2022;3
05/08/2022;22
05/08/2022;2
05/08/2022;9
05/08/2022;69
07/08/2022;1
08/08/2022;2
08/08/2022;44
08/08/2022;11
08/08/2022;18
08/08/2022;136
09/08/2022;19
09/08/2022;3
09/08/2022;58
09/08/2022;14
09/08/2022;17
09/08/2022;80
09/08/2022;153
10/08/2022;15
10/08/2022;18
10/08/2022;1
10/08/2022;13
10/08/2022;15
10/08/2022;8
10/08/2022;65
11/08/2022;28
11/08/2022;15
11/08/2022;3
11/08/2022;41
12/08/2022;2
12/08/2022;20
12/08/2022;22
12/08/2022;5
12/08/2022;17
12/08/2022;5
12/08/2022;184
14/08/2022;2
16/08/2022;6
16/08/2022;1
16/08/2022;22
16/08/2022;3
16/08/2022;17
16/08/2022;24
16/08/2022;40
16/08/2022;69
17/08/2022;1
17/08/2022;1
17/08/2022;20
17/08/2022;13
17/08/2022;4
17/08/2022;455
18/08/2022;74
18/08/2022;1
18/08/2022;1
18/08/2022;36
18/08/2022;14
18/08/2022;1
18/08/2022;12
18/08/2022;2
18/08/2022;304
19/08/2022;1
19/08/2022;1
19/08/2022;36
19/08/2022;26
19/08/2022;11
19/08/2022;4
19/08/2022;91
21/08/2022;49
22/08/2022;1
22/08/2022;1
22/08/2022;29
22/08/2022;3
22/08/2022;4
22/08/2022;207
23/08/2022;1
23/08/2022;31
23/08/2022;24
23/08/2022;3
23/08/2022;13
23/08/2022;172
24/08/2022;17
24/08/2022;20
24/08/2022;329
24/08/2022;58
25/08/2022;45
25/08/2022;59
25/08/2022;65
25/08/2022;55
25/08/2022;1
25/08/2022;7
25/08/2022;164
26/08/2022;2
26/08/2022;48
26/08/2022;9
26/08/2022;4
26/08/2022;38
28/08/2022;1
29/08/2022;59
29/08/2022;75
29/08/2022;41
29/08/2022;1
29/08/2022;1
29/08/2022;4
29/08/2022;143
30/08/2022;30
30/08/2022;26
30/08/2022;3
30/08/2022;29
30/08/2022;63
31/08/2022;3
31/08/2022;91
31/08/2022;44
31/08/2022;4
31/08/2022;6
31/08/2022;168
31/08/2022;45
01/09/2022;2
01/09/2022;69
01/09/2022;47
01/09/2022;34
01/09/2022;9
01/09/2022;133
02/09/2022;1
02/09/2022;1
02/09/2022;38
02/09/2022;4
02/09/2022;11
02/09/2022;30
03/09/2022;44
04/09/2022;1
05/09/2022;203
05/09/2022;35
05/09/2022;19
05/09/2022;5
05/09/2022;76
06/09/2022;50
06/09/2022;55
06/09/2022;35
06/09/2022;2
06/09/2022;38
06/09/2022;89
07/09/2022;1
07/09/2022;72
