,date,unidad
4654,2022-06-07 17:00:00,25
4655,2022-06-07 20:00:00,1540
4656,2022-06-07 22:00:00,13
4657,2022-06-07 23:00:00,51
4658,2022-06-08 11:03:06,28
4659,2022-06-08 14:31:50,15
4660,2022-06-08 15:00:00,28
4661,2022-06-08 17:00:00,4
4662,2022-06-08 19:48:12,1
4663,2022-06-08 20:00:00,12
4664,2022-06-08 22:00:00,36
4665,2022-06-08 23:00:00,33
4666,2022-06-09 00:20:00,1
4667,2022-06-09 11:18:31,33
4668,2022-06-09 12:07:24,1
4669,2022-06-09 15:00:00,8
4670,2022-06-09 17:00:00,32
4671,2022-06-09 20:00:00,4
4672,2022-06-09 22:00:00,32
4673,2022-06-09 23:00:00,19
4674,2022-06-10 11:05:24,18
4675,2022-06-10 14:14:00,1
4676,2022-06-10 17:00:00,25
4677,2022-06-10 20:00:00,6
4678,2022-06-10 22:00:00,9
4679,2022-06-10 23:00:00,48
4680,2022-06-11 09:55:00,1
4681,2022-06-12 15:00:00,17
4682,2022-06-13 09:00:00,5
4683,2022-06-13 13:18:41,64
4684,2022-06-13 17:00:00,39
4685,2022-06-13 20:00:00,11
4686,2022-06-13 22:00:00,15
4687,2022-06-13 23:00:00,12
4688,2022-06-14 12:59:39,29
4689,2022-06-14 13:01:05,44
4690,2022-06-14 15:00:00,2
4691,2022-06-14 17:00:00,10
4692,2022-06-14 20:00:00,549
4693,2022-06-14 22:00:00,35
4694,2022-06-14 23:00:00,50
4695,2022-06-15 00:00:00,54
4696,2022-06-15 13:15:16,20
4697,2022-06-15 17:00:00,15
4698,2022-06-15 20:00:00,8
4699,2022-06-15 23:00:00,41
4700,2022-06-16 15:00:00,18
4701,2022-06-16 17:07:04,3
4702,2022-06-16 20:00:00,3
4703,2022-06-16 22:00:00,2
4704,2022-06-16 23:00:00,45
4705,2022-06-17 15:04:10,32
4706,2022-06-17 17:00:00,17
4707,2022-06-17 20:00:00,1
4708,2022-06-17 22:00:00,13
4709,2022-06-17 23:00:00,32
4710,2022-06-19 15:00:00,4
4711,2022-06-20 10:00:00,1
4712,2022-06-20 13:45:09,35
4713,2022-06-20 17:00:00,22
4714,2022-06-20 20:00:00,4
4715,2022-06-20 22:00:00,34
4716,2022-06-20 23:00:00,71
4717,2022-06-21 12:45:52,13
4718,2022-06-21 15:00:00,4
4719,2022-06-21 17:00:00,14
4720,2022-06-21 20:00:00,6
4721,2022-06-21 22:00:00,58
4722,2022-06-21 23:00:00,35
4723,2022-06-22 15:00:00,11
4724,2022-06-22 15:05:25,20
4725,2022-06-22 15:24:25,1
4726,2022-06-22 16:00:00,24
4727,2022-06-22 16:56:52,2
4728,2022-06-22 17:00:00,14
4729,2022-06-22 17:46:56,3
4730,2022-06-22 18:52:52,2
4731,2022-06-22 20:00:00,2
4732,2022-06-22 23:00:00,73
4733,2022-06-23 09:00:00,1
4734,2022-06-23 11:45:00,1
4735,2022-06-23 14:09:16,21
4736,2022-06-23 15:00:00,4
4737,2022-06-23 16:00:00,71
4738,2022-06-23 17:00:00,22
4739,2022-06-23 20:00:00,6
4740,2022-06-23 22:00:00,7
4741,2022-06-23 23:00:00,103
4742,2022-06-24 10:36:57,2
4743,2022-06-24 14:42:02,17
4744,2022-06-24 14:42:06,8
4745,2022-06-24 15:16:53,19
4746,2022-06-24 17:00:00,10
4747,2022-06-24 20:00:00,6
4748,2022-06-24 22:00:00,33
4749,2022-06-24 23:00:00,55
4750,2022-06-26 15:00:00,11
4751,2022-06-27 00:00:00,1
4752,2022-06-27 13:08:59,35
4753,2022-06-27 15:57:02,1
4754,2022-06-27 16:00:00,66
4755,2022-06-27 17:00:00,9
4756,2022-06-27 20:00:00,13
4757,2022-06-27 22:00:00,66
4758,2022-06-27 23:00:00,77
4759,2022-06-28 10:49:28,1
4760,2022-06-28 13:31:05,16
4761,2022-06-28 15:00:00,3
4762,2022-06-28 17:00:00,17
4763,2022-06-28 20:00:00,2
4764,2022-06-28 22:00:00,81
4765,2022-06-28 23:00:00,46
4766,2022-06-29 10:28:58,14
4767,2022-06-29 10:37:10,1
4768,2022-06-29 10:37:13,1
4769,2022-06-29 15:00:00,4
4770,2022-06-29 16:00:00,58
4771,2022-06-29 17:00:00,19
4772,2022-06-29 20:00:00,3
4773,2022-06-29 22:00:00,13
4774,2022-06-29 23:00:00,83
4775,2022-06-30 14:20:50,41
4776,2022-06-30 15:00:00,2
4777,2022-06-30 16:00:00,78
4778,2022-06-30 17:00:00,11
4779,2022-06-30 20:00:00,6
4780,2022-06-30 22:00:00,29
4781,2022-06-30 23:00:00,95
4782,2022-07-01 12:41:35,14
4783,2022-07-01 17:00:00,15
4784,2022-07-01 19:08:22,1
4785,2022-07-01 20:00:00,13
4786,2022-07-01 22:00:00,13
4787,2022-07-01 23:00:00,58
4788,2022-07-03 15:00:00,22
4789,2022-07-04 12:41:53,24
4790,2022-07-04 13:35:35,49
4791,2022-07-04 16:00:00,62
4792,2022-07-04 17:00:00,13
4793,2022-07-04 20:00:00,3
4794,2022-07-04 22:00:00,41
4795,2022-07-04 23:00:00,82
4796,2022-07-05 15:00:00,9
4797,2022-07-05 15:43:40,3
4798,2022-07-05 16:00:00,78
4799,2022-07-05 17:00:00,9
4800,2022-07-05 19:31:25,1
4801,2022-07-05 20:00:00,2
4802,2022-07-05 22:00:00,52
4803,2022-07-05 23:00:00,103
4804,2022-07-06 10:06:52,1
4805,2022-07-06 14:54:32,31
4806,2022-07-06 15:00:00,7
4807,2022-07-06 17:00:00,17
4808,2022-07-06 20:00:00,4
4809,2022-07-06 22:00:00,19
4810,2022-07-06 23:00:00,51
4811,2022-07-07 10:00:18,14
4812,2022-07-07 15:00:00,11
4813,2022-07-07 16:00:00,80
4814,2022-07-07 16:01:16,1
4815,2022-07-07 17:00:00,6
4816,2022-07-07 18:33:01,1
4817,2022-07-07 20:00:00,3
4818,2022-07-07 22:00:00,20
4819,2022-07-07 23:00:00,107
4820,2022-07-08 14:56:57,13
4821,2022-07-08 15:17:14,16
4822,2022-07-08 17:00:00,8
4823,2022-07-08 18:00:00,1
4824,2022-07-08 20:00:00,4
4825,2022-07-08 22:00:00,16
4826,2022-07-08 23:00:00,34
4827,2022-07-10 15:00:00,21
4828,2022-07-11 11:50:00,1
4829,2022-07-11 14:07:00,1
4830,2022-07-11 14:42:36,57
4831,2022-07-11 16:00:00,72
4832,2022-07-11 17:00:00,14
4833,2022-07-11 20:00:00,5
4834,2022-07-11 22:00:00,9
4835,2022-07-11 23:00:00,348
4836,2022-07-12 00:00:00,4
4837,2022-07-12 13:38:08,6
4838,2022-07-12 14:00:00,4
4839,2022-07-12 15:00:00,5
4840,2022-07-12 16:00:00,58
4841,2022-07-12 17:00:00,20
4842,2022-07-12 19:38:14,1
4843,2022-07-12 20:00:00,1
4844,2022-07-12 22:00:00,52
4845,2022-07-12 23:00:00,313
4846,2022-07-13 13:17:27,21
4847,2022-07-13 13:32:32,3
4848,2022-07-13 15:00:00,24
4849,2022-07-13 17:00:00,20
4850,2022-07-13 20:00:00,34
4851,2022-07-13 22:00:00,18
4852,2022-07-13 23:00:00,174
4853,2022-07-14 11:00:00,1
4854,2022-07-14 15:15:08,25
4855,2022-07-14 16:00:00,91
4856,2022-07-14 17:00:00,19
4857,2022-07-14 20:00:00,5
4858,2022-07-14 22:00:00,27
4859,2022-07-14 23:00:00,137
4860,2022-07-15 00:00:00,108
4861,2022-07-15 14:58:19,22
4862,2022-07-15 15:16:53,2
